disease,symptom,source_url,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
celiac disease,greasy and bulky stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,lupus,4,6.545891391242083,6.6934268461011985,6.675927435938248,6.745799799513371
celiac disease,abdominal bloating,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,4.575834411258875,4.844376587087162,4.6735255222761865,4.250581221672434
lupus,painless sores in the mouth or nose,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,4.485972677404261,4.582423764083695,4.499073636415519,4.552933258304875
lupus,round scaly rashes on the skin,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,5.826159119058177,5.978587316541338,5.987704735523389,6.1114386658761966
lupus,pain when breathing deeply,https://www.niams.nih.gov/health-topics/lupus,patient,lupus,1,4.254859347081899,4.661506615223001,4.498940255270642,5.120516581159048
rheumatoid arthritis,tender warm and swollen joints,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,7.614111885317446,7.208486761665217,7.471086841957438,7.848671799557894
rheumatoid arthritis,stiffness of the wrists hands and feet,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,5.862338051447734,5.52869719609534,5.687295082176437,5.9222642452579874
rheumatoid arthritis,joint pain at rest and while moving,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,5.306152333809469,5.065504182671128,5.371351843537103,5.452277586595537
Sjogren's disease,dry nasal passages and a dry cough,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,4.8082590392917535,5.11772484698152,4.86888347729005,5.148793765459406
Sjogren's disease,tooth decay due to reduced saliva,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,Sjogren's disease,1,6.390181086767011,6.628776975842624,6.275122605362921,6.307091386208021
Sjogren's disease,difficulty speaking because the mouth is dry,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,3,5.056248638032535,5.6490139314987164,5.301417130108805,5.132108325765708
celiac disease,a rash called dermatitis herpetiformis,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,rheumatoid arthritis,2,4.778629342579132,4.3733234020660845,4.698064499739076,4.518429244887428
celiac disease,damage to permanent tooth enamel,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,6.6956107298180765,6.43661937556487,6.478780039315289,6.394387418401564
celiac disease,loose and foul-smelling stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,lupus,4,4.634088446838443,4.676138486396314,4.680778347186914,4.697818389349415
lupus,a butterfly-shaped rash across the cheeks and nose,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.791341329699259,4.853232822028326,4.801560325789563,4.85965160151949
lupus,a rash after exposure to sunlight,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.3843830906254535,4.399540855266097,4.53781136248874,4.544428920141995
lupus,color changes in the fingers and toes after cold exposure,https://www.niams.nih.gov/health-topics/lupus,symptom,rheumatoid arthritis,3,5.1628827185795325,4.944691061608817,5.180366150444427,5.084433125540708
rheumatoid arthritis,joint stiffness lasting more than 30 minutes after waking,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,5.119424665324142,4.962244185277769,5.198753701835194,5.298185351043671
rheumatoid arthritis,swelling of joints on both sides of the body,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,3.6453296771099493,3.134543747240857,3.6347679602469216,3.950614356530446
rheumatoid arthritis,swollen joints that make it difficult to form a fist,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,4.929510579065088,4.84329212709104,4.96617281649751,5.438645470209157
Sjogren's disease,eyes that feel dry and gritty,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,lupus,2,6.108351985666697,6.709143119793842,6.368076389096916,6.729667504778859
Sjogren's disease,a dry mouth that makes swallowing difficult,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,lupus,2,3.4615445921442585,4.100571939571569,3.6761992988673398,3.752027728753718
Sjogren's disease,swelling of glands around the face and neck,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,Sjogren's disease,1,3.7760472652844363,3.9700323159389526,3.769311216020797,4.300706667030256
celiac disease,chronic diarrhea,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,celiac disease,1,4.651064442067399,5.343861638590099,4.877164529711907,4.196881851425665
celiac disease,greasy and bulky stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,lupus,4,6.340330208448227,6.449860178169454,6.628492646484809,6.645842049387222
celiac disease,abdominal bloating,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,celiac disease,1,3.657171179020216,4.124791083653059,3.8027028676130956,3.3941465964477535
lupus,painless sores in the mouth or nose,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.3223264555854,4.628613471392956,4.40655884565337,4.3856445256324985
lupus,round scaly rashes on the skin,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.989474087898983,5.056868747755349,5.109792882914035,5.404299205494994
lupus,pain when breathing deeply,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.826570524429455,5.648397584374121,5.2379355346577,5.830683509470939
rheumatoid arthritis,tender warm and swollen joints,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,7.0882232781816,6.454020284170108,6.968408325451432,7.218818476096924
rheumatoid arthritis,stiffness of the wrists hands and feet,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,5.811479016779885,5.2205495064374485,5.647942216235407,5.7129804707300265
rheumatoid arthritis,joint pain at rest and while moving,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,5.638072363004078,5.50966109752965,6.013232791601023,5.91309291568651
Sjogren's disease,dry nasal passages and a dry cough,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,Sjogren's disease,1,4.951649235857776,5.151534072524759,4.893883950311037,5.349810108233162
Sjogren's disease,tooth decay due to reduced saliva,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,lupus,3,5.919944049772753,6.233573890848239,6.003629575972026,5.957934397366246
Sjogren's disease,difficulty speaking because the mouth is dry,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,celiac disease,3,5.139211241493089,5.838604746598306,5.47414018778141,5.052922407573523
celiac disease,a rash called dermatitis herpetiformis,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,rheumatoid arthritis,3,4.461251589662156,4.143688105424996,4.274458832864634,4.311883635165926
celiac disease,damage to permanent tooth enamel,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,celiac disease,1,6.452559989750684,6.216635579044306,6.103085377216656,6.052837623564286
celiac disease,loose and foul-smelling stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,rheumatoid arthritis,2,4.439405144503365,4.360004577463064,4.50529775077079,4.40771741387967
