disease,symptom,source_url,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
rheumatoid arthritis,stiffness of the wrists hands and feet,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,6.356602474411041,6.163580734413726,6.411592486669722,6.247287184337092
rheumatoid arthritis,joint pain at rest and while moving,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,patient,rheumatoid arthritis,1,6.432890124847511,6.399268962332991,6.755842032721553,6.862948173398421
Sjogren's disease,dry nasal passages and a dry cough,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,lupus,2,5.48497016103347,5.61335684373774,5.545555790071709,5.663362702034177
Sjogren's disease,tooth decay due to reduced saliva,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,celiac disease,3,6.857065682455263,7.146437590787378,6.859534659056868,6.836053918887891
Sjogren's disease,difficulty speaking because the mouth is dry,https://www.niams.nih.gov/health-topics/sjogrens-disease,patient,celiac disease,3,5.511897076220264,5.875950102051477,5.636805624789147,5.368414938803982
celiac disease,a rash called dermatitis herpetiformis,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,rheumatoid arthritis,4,6.409634249748781,6.186970797632177,6.278637915199018,6.489520657846219
celiac disease,damage to permanent tooth enamel,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,lupus,4,6.990998839336193,7.133932171276608,7.023382238273728,7.259007954866901
celiac disease,loose and foul-smelling stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,patient,celiac disease,1,5.449832004935596,5.640986904366201,5.6987149643838615,5.3936657329558555
lupus,a butterfly-shaped rash across the cheeks and nose,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,5.529447416176564,5.689529543804179,5.613312246486588,5.773498251635325
lupus,a rash after exposure to sunlight,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.956127965055883,5.164887265053893,5.281895294953602,5.37825827906701
lupus,color changes in the fingers and toes after cold exposure,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,5.476712587012117,5.577204246598751,5.777693178189935,5.543275454514784
rheumatoid arthritis,joint stiffness lasting more than 30 minutes after waking,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,5.821619422385432,5.431577263814556,5.796405332350653,5.995546049885063
rheumatoid arthritis,swelling of joints on both sides of the body,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,3.7262048239473904,3.375859564589366,3.8229192160652956,3.9648398112056715
rheumatoid arthritis,swollen joints that make it difficult to form a fist,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,5.1894748011342315,5.182693298506307,5.258931745781258,5.54379366560271
Sjogren's disease,eyes that feel dry and gritty,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,lupus,2,7.387404354950092,7.88786910258454,7.466077622035682,7.8394903583278825
Sjogren's disease,a dry mouth that makes swallowing difficult,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,Sjogren's disease,1,4.972333809629817,5.426395428391529,4.960279341401446,5.0849313563487355
Sjogren's disease,swelling of glands around the face and neck,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,lupus,2,4.534853767969731,4.694618733096879,4.628228222611351,5.104909617080028
celiac disease,chronic diarrhea,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,celiac disease,1,5.927628341142736,6.033286685286006,5.6736787588787125,5.243467654725964
celiac disease,greasy and bulky stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,lupus,4,6.62930674939606,6.780355848585176,6.692738706661672,6.786735849635524
celiac disease,abdominal bloating,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,celiac disease,1,4.570424152140322,4.76614158817979,4.363451962832246,4.003858381300798
lupus,painless sores in the mouth or nose,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,4.891472300479144,5.019440353226154,4.895646014683825,5.16985441476898
lupus,round scaly rashes on the skin,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,5.750536840535538,7.242987169358899,5.869605235687493,5.756779896753184
lupus,pain when breathing deeply,https://www.niams.nih.gov/health-topics/lupus,symptom,lupus,1,6.236229400715915,6.6924157210935675,6.547011957025701,7.1521860911221395
rheumatoid arthritis,tender warm and swollen joints,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,7.937855724928591,7.786063579303099,7.978191016681871,8.340204980374736
rheumatoid arthritis,stiffness of the wrists hands and feet,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,6.318218553350514,5.786175163675549,6.162377936123712,6.1556439876759255
rheumatoid arthritis,joint pain at rest and while moving,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,symptom,rheumatoid arthritis,1,7.496487790912845,7.4201851511134596,7.9200886272245805,8.171917147455513
Sjogren's disease,dry nasal passages and a dry cough,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,Sjogren's disease,1,5.834472336714459,5.963840169692985,5.719624440004664,6.162735321446663
Sjogren's disease,tooth decay due to reduced saliva,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,Sjogren's disease,1,6.569102263951513,6.721397250186647,6.469497869936467,6.56021215067912
Sjogren's disease,difficulty speaking because the mouth is dry,https://www.niams.nih.gov/health-topics/sjogrens-disease,symptom,celiac disease,2,5.793994360271484,6.1784428946598435,5.766669391239268,5.5428848457592315
celiac disease,a rash called dermatitis herpetiformis,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,rheumatoid arthritis,4,6.212351370316003,6.109382878544484,6.168399729674227,6.422191804583409
celiac disease,damage to permanent tooth enamel,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,Sjogren's disease,4,7.131300658005688,7.238355270625647,6.859195972979808,7.417140111807246
celiac disease,loose and foul-smelling stools,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,symptom,lupus,2,5.258897447574145,5.653011378893042,5.508077730371697,5.260898708878494
