disease,symptom,source_url,overlap_note,prompt,predicted,source_rank,bits_per_token__lupus,bits_per_token__rheumatoid arthritis,bits_per_token__Sjogren's disease,bits_per_token__celiac disease
celiac disease,constipation and excess gas,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,patient,lupus,2,5.887961296936813,6.039422594968549,6.080547830357403,5.949760505651427
celiac disease,itchy blisters on the knees and elbows,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,dermatitis herpetiformis description,patient,rheumatoid arthritis,3,4.9268420441953475,4.627598799886167,5.1427349292644,4.966548612679275
celiac disease,numbness or tingling in the limbs,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,may occur for other reasons,patient,rheumatoid arthritis,4,3.511029047144677,3.4788483767157112,3.6394340919528783,3.6768642676371175
lupus,hair thinning or hair loss,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,lupus,1,4.804045088133566,5.011722492493449,4.892086815297507,5.151559049165899
lupus,swelling in the legs or around the eyes,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,lupus,1,4.482393689776031,4.490307058219392,4.778479002392259,4.822751913373777
lupus,fevers that come and go,https://www.niams.nih.gov/health-topics/lupus,shared with rheumatoid arthritis,symptom,celiac disease,3,5.797685497223304,5.8269359950514135,5.652202717108501,5.408791317263739
lupus,headaches with episodes of dizziness,https://www.niams.nih.gov/health-topics/lupus,may occur for other reasons,symptom,lupus,1,5.934630072288276,5.946782430939723,5.968523455171195,6.047007553313401
rheumatoid arthritis,firm lumps beneath the skin near the elbows,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,source-associated but not exclusive,symptom,rheumatoid arthritis,1,6.867751511250899,6.280064549446576,6.657849319357182,6.470007105613493
rheumatoid arthritis,joint swelling that makes bending the knees difficult,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint swelling can overlap,symptom,rheumatoid arthritis,1,7.13419609434802,6.557379067397874,7.258171565376535,7.509731983763955
rheumatoid arthritis,joint stiffness after long periods of rest,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,joint stiffness can overlap,symptom,rheumatoid arthritis,1,5.4287951076934755,4.8123981376883815,5.2654962867985144,5.412011027887822
rheumatoid arthritis,low energy and loss of appetite,https://www.niams.nih.gov/health-topics/rheumatoid-arthritis,fatigue can overlap,symptom,celiac disease,3,4.071619414258472,4.086372428095337,4.174604299354849,3.7221611302390993
Sjogren's disease,burning eyes with sensitivity to bright light,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,symptom,Sjogren's disease,1,6.134701004596505,6.118027974525959,6.048409515694766,6.052809310230585
Sjogren's disease,a chalky mouth and difficulty tasting food,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry mouth can overlap,symptom,lupus,2,6.879952498187755,7.486863383796585,7.031207675758886,7.075806809165316
Sjogren's disease,dry skin and aching muscles,https://www.niams.nih.gov/health-topics/sjogrens-disease,aching can overlap,symptom,rheumatoid arthritis,2,5.212004808706645,4.912417074865362,5.012764971473891,5.2414776352831804
Sjogren's disease,irritated eyelids and blurry vision,https://www.niams.nih.gov/health-topics/sjogrens-disease,dry eye symptoms can overlap,symptom,Sjogren's disease,1,6.015567578931237,6.148810953420072,5.71184429498717,6.078144744033076
celiac disease,nausea with pain in the abdomen,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,symptom,rheumatoid arthritis,4,5.2154691412343,5.088074503598107,5.204116419037145,5.605091623189047
celiac disease,constipation and excess gas,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,shared nonspecific symptoms,symptom,celiac disease,1,5.716521572909203,5.759728844153418,5.727658133004459,5.498483216811039
celiac disease,itchy blisters on the knees and elbows,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,dermatitis herpetiformis description,symptom,rheumatoid arthritis,3,4.632516394345565,4.213356190555492,4.758200158744056,4.6951004384751185
celiac disease,numbness or tingling in the limbs,https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease/symptoms-causes,may occur for other reasons,symptom,rheumatoid arthritis,4,3.577922470398876,3.5198965993931877,3.6076355803766837,3.765865012741223
